Last,Style,Name,Leather,Color,Outsole,Welt
Barrie,Cap Toe,,Chromexcel,Brown,Commando,270 Storm Welt
Barrie,Cap Toe,Unionmade Kirkwood,Shell Cordovan,Color 8,Commando,360 Flat Welt
Barrie,Perforated Cap Toe,Perforated Cap Toe,Calfskin,Tan,(no data),(no data)
Barrie,Perforated Cap Toe,,Calfskin,Dark Tan,Double Leather,360 Pre-Stitched Reverse
Barrie,Perforated Cap Toe,Perforated Cap Toe,Suede,Snuff,Double Leather,360 Flat Welt
Grant,Medallion Cap Toe,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Grant,Medallion Cap Toe,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Plaza,Medallion Cap Toe,,Shell Cordovan,Black,Lug,360 Flat Welt
Aberdeen,Medallion Cap Toe,,Shell Cordovan,Black,Double Leather,360 Flat Welt
TruBalance,Indy,,Workboot Calf,Black,Neo-Cork,270 Flat Welt
TruBalance,Indy,,Suede,Snuff,Commando,360 Pre-Stitched Reverse
TruBalance,Indy,,Rusticalf,Brown,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,Unionmade McCoppin,Suede,Hunting Green,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,McCoppin Boot,Chromexcel,Natural,Heavy Single Leather,(no data)
Barrie,Norwegian Split Toe,Tanker Boot,Chromexcel,Brown,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,Tanker Boot,Chromexcel,Natural,Plantation Crepe,(no data)
Barrie,Norwegian Split Toe,Tanker Boot,Suede,Chocolate,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,McCoppin Boot,Chromexcel,Natural,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,McCoppin Boot,Chromexcel,Natural,Heavy Single Leather,(no data)
Barrie,Norwegian Split Toe,McCoppin Boot,Reverse Chamois,Tobacco,Single Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,,Calfskin,Burnished Dark Tan,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,,Shell Cordovan,Color 8,Commando,360 Storm Welt
Barrie,Norwegian Split Toe,,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,,Shell Cordovan,Color 8,Commando,360 Storm Welt
Barrie,Norwegian Split Toe,,Shell Cordovan,Black,Commando,360 Pre-Stitched Reverse
Grant,Indy,J Crew,Shell Cordovan,Black,Double Leather,270 Flat Welt
TruBalance,Indy,,Shell Cordovan,Cigar,Commando,270 Storm Welt
Barrie,Norwegian Split Toe,Tanker Boot,Calfskin,Black,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,Context Tanker Boot,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Split Toe,,Shell Cordovan,Color 8,Commando,360 Storm Welt
Barrie,Norwegian Split Toe,,Shell Cordovan,Black,Commando,360 Storm Welt
Barrie,Norwegian Split Toe,,Shell Cordovan,Whiskey,Commando,360 Flat Welt
Barrie,Norwegian Split Toe,,Calfskin,Black,Commando,360 Storm Welt
Barrie,Norwegian Split Toe,,Shell Cordovan,Black,Commando,360 Pre-Stitched Reverse
