Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Ravello,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Ravello,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Cigar,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Cigar,Double Leather,360 Flat Welt
TruBalance,Mocc Toe Blucher,,Calfskin,Dark Brown,Rubber,360 Flat Welt
Aberdeen,Straight Tip Blucher,,Chamois,Tobacco,Commando,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Scotch Grain,Brown,Commando,360 Storm Welt
Aberdeen,Norwegian Front Blucher,,Suede,Black,Single Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Scotch Grain,Brown,Single Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Scotch Grain,Black,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Scotch Grain,Brown,Double Leather,270 Flat Welt
(no data),Straight Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Ravello,Double Leather,270 Flat Welt
(no data),Sneaker,,Calfskin,Black,Wedge,360 Flat Welt
(no data),Sneaker,,Calfskin,Black,Wedge,360 Flat Welt
(no data),Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
(no data),Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Hampton,Perforated Straight Tip Blucher,,Calfskin,Brown,Single Leather,360 Flat Welt
Hampton,Perforated Straight Tip Blucher,,Shell Cordovan,Whiskey,Double Leather,270 Flat Welt
Barrie,Straight Tip Blucher,Unionmade Black Alder,Regina Grain,Black,Double Leather,360 Pre-Stitched Reverse
